scenario,policy,episodes,success_mean,success_std,task_completion_mean,task_completion_std,outage_rate_mean,outage_rate_std,mean_packet_mean,mean_packet_std,worst_agent_packet_mean,worst_agent_packet_std,cvar_outage_90_mean,cvar_outage_90_std,comm_fairness_mean,comm_fairness_std,usv_collision_rate_mean,usv_collision_rate_std,auv_collision_count_mean,auv_collision_count_std,colregs_violation_rate_mean,colregs_violation_rate_std,energy_mean,energy_std,smoothness_mean,smoothness_std,shield_interventions_mean,shield_interventions_std,mission_time_mean,mission_time_std
acoustic_degradation,communication_aware,20,0.0,0.0,0.2833333333333333,0.2843120351538663,0.9441111111111111,0.05199726963392133,0.6455156528720507,0.0624746342891283,0.5662442429314306,0.09770928113569471,1.0,0.0,0.26629844495192895,0.1992653069818016,0.006,0.02615339366124404,53.7,77.83450391696475,0.03883333333333333,0.06778458526833368,7831.691214064511,126.01440238028646,3068.902371728854,205.34652388503395,0.0,0.0,300.0,0.0
acoustic_degradation,fixed_auv_ga_pso_tlbo_proxy,20,0.3,0.458257569495584,0.75,0.2327373340628157,0.9355177318239124,0.0827868370461543,0.46856260068607525,0.11758911347779503,0.343369815986204,0.1374675238807375,1.0,0.0,0.22239958553034073,0.21923956779832432,0.0,0.0,41.25,42.140093735064234,0.029261209322438652,0.050819839138645115,5150.876499999979,583.0399250267898,2541.815381826822,321.8762948808675,0.0,0.0,277.9,31.45615996907442
acoustic_degradation,haco_safemarl_mappo,20,0.0,0.0,0.016666666666666666,0.07264831572567788,0.7389444444444444,0.2318698749059241,0.6360532855137294,0.12144318415675051,0.5395147779115568,0.16145653933267254,0.9788888888888889,0.04905275567698692,0.41070216866951936,0.28017392234954586,0.0,0.0,5.35,9.018176090540702,0.022333333333333334,0.061192773720068906,730.4349345527892,335.5371240274652,238.2264989754804,233.63810088634332,921.35,47.52817585390796,300.0,0.0
acoustic_degradation,haco_safemarl_pilot,20,0.2,0.4,0.3,0.42031734043061636,0.8008078681590397,0.13467032409215837,0.676069343274681,0.03221508308230814,0.5943864046263675,0.052015750167732494,0.952037037037037,0.09620169854966636,0.41030802008298506,0.2081314651846159,0.0,0.0,5.05,9.441795380117068,0.02382466134694308,0.03914871880068554,8093.3102191343205,1095.578331256201,2794.4503920745346,657.0074744581852,862.4,132.35422169315189,278.95,39.8603499733758
acoustic_degradation,haco_safemarl_pilot_no_acoustic,20,0.3,0.458257569495584,0.5333333333333333,0.4,0.7783954347991756,0.1550184863041583,0.579770437208053,0.08796753787777564,0.4166777841214664,0.12399228175699405,0.9512865497076023,0.09772144177168246,0.41823640692782704,0.21331753821773347,0.0008333333333333333,0.0036324157862838947,6.6,14.643770006388381,0.024500194249825524,0.041573723294407165,8206.130715457246,1118.104355322527,2669.3984515711327,589.2794204043485,845.7,128.68803363172506,274.65,41.05761196173007
acoustic_degradation,haco_safemarl_pilot_no_shield,20,0.2,0.4,0.5,0.4013864859597432,0.8956706855647805,0.1025604935905337,0.49673333782686296,0.08968341327258449,0.36801426379765634,0.10002839619749847,0.9968253968253968,0.01383777442393867,0.33454166282105197,0.27129693789936127,0.00296969696969697,0.009177666828305906,44.5,68.98949195348521,0.019046818797313677,0.03466974737682565,8121.225140460194,1282.3318238210336,2553.4321696691363,622.8527524982508,0.0,0.0,269.0,46.167087844047515
acoustic_degradation,independent_greedy,20,0.35,0.47696960070847283,0.9833333333333333,0.0726483157256779,0.9285361292644633,0.06589339414099073,0.3782518752858533,0.08753291629006177,0.18044892160067624,0.1067286319708491,1.0,0.0,0.3217247021257083,0.18901043261730271,0.0011406844106463879,0.004972128072479856,31.8,32.1645767887594,0.03786624375377627,0.06527751001051765,5695.115250000007,1006.0425624066263,2331.7000000000053,477.7926349369616,0.0,0.0,231.65,40.92099094596806
emergency,communication_aware,20,0.0,0.0,0.2333333333333333,0.23804761428476165,0.7971111111111111,0.1419025922209046,0.620200475515315,0.07876514660102253,0.5464348258219102,0.09775968232463425,0.9683333333333334,0.09514608650794719,0.6265514719518197,0.21071843239727409,0.003,0.009061518146045458,38.6,57.35451159237606,0.029,0.04112447230326758,7868.5335493078255,143.490954630599,3122.298847155421,231.4566909042158,0.0,0.0,300.0,0.0
emergency,fixed_auv_ga_pso_tlbo_proxy,20,0.1,0.3,0.7333333333333333,0.32659863237109044,0.7586867720229625,0.1350592174286723,0.4741779128419249,0.11783685059206125,0.32948126176727593,0.13128094968100862,0.9833333333333333,0.07264831572567793,0.6369805533221122,0.19053471388705095,0.0039938556067588326,0.012225258218784354,47.15,60.894396293911974,0.03139503328213006,0.0450181806707312,4996.10924999998,833.5903749028516,2401.727289897488,475.29708970180917,0.0,0.0,269.55,44.973853515125874
emergency,haco_safemarl_mappo,20,0.0,0.0,0.06666666666666667,0.13333333333333333,0.565,0.2324269432544714,0.6269890199774575,0.13149086982120173,0.5496526738695068,0.16211886546598453,0.8316666666666668,0.19107477044663573,0.7602137953065237,0.22072467953865665,0.0,0.0,3.4,7.7291655435758395,0.031,0.05551876559626784,686.2971158189212,428.86649293480133,236.2720183544305,179.45971885991992,824.7,71.50881064596166,300.0,0.0
