scenario,policy,episodes,success_mean,success_std,task_completion_mean,task_completion_std,outage_rate_mean,outage_rate_std,mean_packet_mean,mean_packet_std,worst_agent_packet_mean,worst_agent_packet_std,cvar_outage_90_mean,cvar_outage_90_std,comm_fairness_mean,comm_fairness_std,usv_collision_rate_mean,usv_collision_rate_std,auv_collision_count_mean,auv_collision_count_std,colregs_violation_rate_mean,colregs_violation_rate_std,energy_mean,energy_std,smoothness_mean,smoothness_std,shield_interventions_mean,shield_interventions_std,mission_time_mean,mission_time_std
acoustic_degradation,communication_aware,20,0.05,0.21794494717703367,0.35,0.2682246156571847,0.9433333333333334,0.07917709482974865,0.6314909569029411,0.06811920435483199,0.544304515800457,0.1053597472506707,1.0,0.0,0.24259034314574499,0.28406135243461994,0.0025,0.010897247358851685,52.5,71.03414671832132,0.014333333333333333,0.03206070630676887,7733.689973760953,334.7510885546708,3106.086384064823,263.83217905281685,0.0,0.0,297.5,10.897247358851684
acoustic_degradation,fixed_auv_ga_pso_tlbo_proxy,20,0.35,0.47696960070847283,0.8666666666666667,0.16329931618554522,0.9238319081228766,0.11319327422355493,0.45999497087304553,0.11604373877099092,0.284410287771574,0.15720926298851623,1.0,0.0,0.20667594352890928,0.2675936085560718,0.0,0.0,29.05,48.61941484633479,0.014523627075351214,0.03273877909060649,4862.657249999982,931.0083636553294,2529.0069760133965,551.609074271371,0.0,0.0,262.35,50.22974716241363
acoustic_degradation,haco_safemarl_mappo,20,0.0,0.0,0.03333333333333333,0.09999999999999999,0.6607222222222222,0.2390896507821096,0.6531052821273376,0.11333504523128314,0.5551381083759661,0.16351440911478982,0.9183333333333333,0.12572137526105442,0.44435110664938077,0.25479579666318775,0.0,0.0,0.0,0.0,0.015833333333333335,0.03776940266641475,739.8341751630331,290.80625060732126,244.7765741532026,201.57294826327688,916.8,22.493554632383027,300.0,0.0
acoustic_degradation,haco_safemarl_pilot,20,0.1,0.3,0.25,0.2958039891549808,0.7881031218689026,0.17194775865029405,0.6657266463893615,0.048009250596852515,0.5786178257688925,0.0726496357313357,0.9476767676767677,0.10654176571681612,0.40268680431156806,0.21064541448555657,0.0011666666666666668,0.005085382100797453,3.35,14.602311460861257,0.02674031007751938,0.04203603345091877,7811.266084708496,1574.4744610399823,2899.618192799925,483.6911308063212,952.0,109.73376873141649,295.45,18.502634947487884
acoustic_degradation,haco_safemarl_pilot_no_acoustic,20,0.3,0.458257569495584,0.6,0.34318767136623335,0.7556212166722799,0.17256685887286924,0.5808474623546884,0.08749453657240903,0.40834241524632053,0.1559208314541414,0.9506944444444444,0.10036920654990149,0.4505129484319529,0.19528394275779998,0.0031887254901960785,0.009941261976563085,0.0,0.0,0.03914048308271915,0.05830295801379372,8093.9680198611,1305.0511827404184,2662.7211340897998,716.0275720036425,871.9,129.79865176495477,276.5,39.33636993928138
acoustic_degradation,haco_safemarl_pilot_no_shield,20,0.2,0.4,0.6666666666666666,0.33333333333333337,0.8573159318653963,0.15023519740451952,0.5124118255881621,0.09205303320567082,0.3592726696838368,0.13008629569762858,0.9689314194577352,0.07667085867087746,0.359948707605033,0.2102513426654532,0.0028301886792452833,0.012336506443983038,53.2,95.84915231758703,0.04066573126114613,0.07181475921862313,7615.276690498309,1710.0687282630633,2333.200147444239,758.8760474918524,0.0,0.0,252.3,59.806437780560046
acoustic_degradation,independent_greedy,20,0.55,0.49749371855331,1.0,0.0,0.9489369806798978,0.0696051962835843,0.37471370341050325,0.11597915467501255,0.17927687575710172,0.13673659967112384,1.0,0.0,0.2802734678131131,0.2069892531442906,0.0007246376811594203,0.0031586224228555607,22.2,37.128964434791335,0.018858442679486703,0.04667854944084477,5148.0990000000065,1155.2177316274642,2181.110000000004,573.6667725256576,0.0,0.0,209.4,46.98872205114755
emergency,communication_aware,20,0.1,0.3,0.3333333333333333,0.31622776601683794,0.7119439606936342,0.20790597147084486,0.66691035752343,0.08241764557551721,0.5990728247142107,0.10467504424238351,0.912962962962963,0.22712274914546401,0.7038451346856099,0.18205072578658416,0.007333333333333333,0.01815366507225347,40.8,81.52643742983008,0.03916666666666666,0.05144441444683551,7840.367381924125,250.36111067452947,3028.515819004701,181.14356279332586,0.0,0.0,296.25,11.251111056246845
emergency,fixed_auv_ga_pso_tlbo_proxy,20,0.2,0.4,0.8166666666666667,0.22298480267099421,0.6663542347894867,0.2079932876294857,0.541264160950896,0.1428917372646161,0.40375749753490525,0.178960534973406,0.888888888888889,0.2000308618164016,0.6857349692395931,0.18202656916533905,0.004033416875522139,0.01219424370909992,45.5,70.6643474462193,0.04374685492449828,0.05724922225960104,5101.75874999998,642.9768524894042,2358.9333204364284,401.79547443696475,0.0,0.0,275.25,34.689876044748274
emergency,haco_safemarl_mappo,20,0.0,0.0,0.03333333333333333,0.09999999999999999,0.40238888888888885,0.25210062536344885,0.7156084369742799,0.10481448765337475,0.6460236820639185,0.1592101784409026,0.658888888888889,0.2935121508831438,0.8135255056100672,0.20819557847995826,0.0,0.0,1.4,6.102458520956943,0.0195,0.054510702313093226,807.9447286412343,283.45339708651846,253.59479385631573,141.40273064088757,740.25,176.15671290075778,300.0,0.0
