success,task_completion,mission_time,outage_rate,mean_packet,worst_agent_packet,cvar_outage_90,comm_fairness,usv_collision_rate,auv_collision_count,colregs_violation_rate,energy,smoothness,shield_interventions,policy,scenario,seed,num_auvs
1.0,1.0,189.0,0.02821869488536155,0.9281933297239712,0.897367947416646,0.28070175438596484,0.9983164151625848,0.0,0.0,0.0,5664.254316674187,1305.4952682640694,153.0,haco_safemarl_task_priority,survey,1010263430,3
1.0,1.0,266.0,0.5952380952380952,0.5134863430446693,0.18106451602162726,1.0,0.6951512846450508,0.0,0.0,0.17293233082706766,7740.764848585443,2400.101967387106,716.0,haco_safemarl_task_priority,survey,1010263527,3
0.0,0.6666666666666666,300.0,0.4866666666666667,0.6557842793678852,0.46938657098088027,0.6666666666666669,0.6896057067742394,0.0,0.0,0.0,7780.387765777082,2001.9851591425438,745.0,haco_safemarl_task_priority,survey,1010263624,3
0.0,0.3333333333333333,300.0,0.2633333333333333,0.811053067652479,0.7231803604599024,0.6666666666666669,0.9273783677676071,0.0,0.0,0.0,9851.167547909512,3454.861786910162,371.0,haco_safemarl_task_priority,survey,1010263721,3
1.0,1.0,288.0,0.5555555555555556,0.6779941384288003,0.6590884557338715,1.0,0.9695439477117336,0.0,0.0,0.052083333333333336,9589.232604094761,2540.046472177852,534.0,haco_safemarl_task_priority,survey,1010263818,3
1.0,1.0,172.0,0.1511627906976744,0.9073405843907594,0.789514462589876,0.33333333333333326,0.9403564494842485,0.0,0.0,0.0,4705.3923502157495,1217.2004428157095,276.0,haco_safemarl_task_priority,survey,1010263915,3
0.0,1.0,153.0,0.12200435729847493,0.8849998982723893,0.8377412905700176,0.3333333333333333,0.9812461859614049,0.0,2.0,0.0,5386.04075005366,1260.6997863411689,149.0,haco_safemarl_task_priority,survey,1010264012,3
1.0,1.0,168.0,0.18055555555555555,0.8074911521139795,0.6143698996613207,0.37254901960784315,0.9167271299190398,0.0,0.0,0.023809523809523808,5730.22962778541,1407.9649453790037,201.0,haco_safemarl_task_priority,survey,1010264109,3
1.0,1.0,206.0,0.296116504854369,0.7687348886128565,0.44935403561860854,0.33333333333333326,0.7385744896377399,0.0,0.0,0.0,4995.38082505445,934.6077747728415,358.0,haco_safemarl_task_priority,survey,1010264206,3
1.0,1.0,237.0,0.5344585091420535,0.6550077291198508,0.42370953316651466,1.0,0.8452802526908263,0.0,0.0,0.0,8040.652363443162,2028.874678088197,466.0,haco_safemarl_task_priority,survey,1010264303,3
1.0,1.0,90.0,0.011111111111111112,0.9420434243684835,0.9370629011161037,0.1111111111111111,0.9997475702511963,0.0,0.0,0.0,3171.9562499999997,648.8812258101165,6.0,haco_safemarl_task_priority,survey,1010264400,3
1.0,1.0,177.0,0.04708097928436911,0.9298117940321835,0.8700579490159406,0.33333333333333326,0.9951415932807198,0.0,0.0,0.0,6013.53625,1426.8923894734705,62.0,haco_safemarl_task_priority,survey,1010264497,3
