scenario,policy,episodes,success_mean,success_std,task_completion_mean,task_completion_std,outage_rate_mean,outage_rate_std,mean_packet_mean,mean_packet_std,worst_agent_packet_mean,worst_agent_packet_std,cvar_outage_90_mean,cvar_outage_90_std,comm_fairness_mean,comm_fairness_std,usv_collision_rate_mean,usv_collision_rate_std,auv_collision_count_mean,auv_collision_count_std,colregs_violation_rate_mean,colregs_violation_rate_std,energy_mean,energy_std,smoothness_mean,smoothness_std,shield_interventions_mean,shield_interventions_std,mission_time_mean,mission_time_std
acoustic_degradation,haco_safemarl_task_priority,40,0.275,0.4465142774872938,0.725,0.26757657263337203,0.8597545631478446,0.11875687860719804,0.4769530387064786,0.10396990183354678,0.27658620710772375,0.14798332703137557,1.0,0.0,0.39311844205257646,0.19341444859449866,0.002801282051282051,0.01333547659056233,6.175,19.154487072224097,0.044153443259967194,0.08748054302498537,8526.88527296615,1557.6118585682636,2494.3427062234964,613.675294693131,879.225,142.61179605839064,277.425,40.071740354020065
emergency,haco_safemarl_task_priority,40,0.375,0.4841229182759271,0.725,0.2875905654456233,0.5924753382201708,0.18715069325613806,0.5903953360160672,0.11743468627687471,0.411431500239354,0.17880141181608308,0.8465925925925926,0.18905147686635457,0.7247032661794465,0.2044470047230759,0.0008879130207653128,0.0032688935303310813,3.65,12.013638083444997,0.0431358015199023,0.10492727186248495,8504.808715550727,1527.9505674416323,2419.904543840325,647.4478313483849,697.575,184.7678120642229,269.1,43.84449794443996
generalization,haco_safemarl_task_priority,120,0.25,0.4330127018922193,0.7295138888888889,0.25819865627728406,0.44484427019709444,0.1844115781381618,0.6704750234917638,0.10837400423937898,0.4473751789101948,0.20740305271474646,0.7493960722863199,0.1983669637023117,0.8107808807207229,0.12503535060737164,0.0018725490196078432,0.007915023909366211,9.816666666666666,18.114903318047883,0.02140644945874163,0.0436776841087083,8775.832912636943,2157.5236560488534,2597.98983749407,881.6966070143473,1074.25,609.9150794714512,272.775,49.61459168766113
survey,haco_safemarl_task_priority,40,0.725,0.4465142774872938,0.95,0.14043582955293932,0.3262595252729475,0.20476661420313727,0.7554397123474008,0.1285702161463932,0.6119615222662264,0.19358875277330848,0.639836864128126,0.2682257793263477,0.8818024403343961,0.10593526286327859,0.000791170634920635,0.0034657314261313517,0.975,3.372591733370643,0.03716817990101915,0.09246425755880967,7143.196586711877,1752.14953190903,1857.5781444457461,618.856089833211,377.95,238.17493046078548,229.5,57.13449045891632
traffic,haco_safemarl_task_priority,40,0.525,0.4993746088859545,0.8583333333333333,0.2343726851737539,0.38648723930669926,0.15462594067566207,0.7101663277241301,0.09800646778964846,0.5525169652418134,0.15737922699793522,0.7251856583397392,0.2228996634575945,0.8599458507000177,0.09454983347812752,0.00472136881598826,0.011494137044553654,1.025,3.30520422969595,0.0706432829645001,0.08506519185344912,7750.028540312311,1839.897474344944,2030.6389424388362,691.0149368242555,441.6,204.83283428200664,244.5,57.478691703969744
