success,task_completion,mission_time,outage_rate,mean_packet,worst_agent_packet,cvar_outage_90,comm_fairness,usv_collision_rate,auv_collision_count,colregs_violation_rate,energy,smoothness,shield_interventions,policy,scenario,seed,num_auvs
0.0,0.6666666666666666,300.0,0.561111111111111,0.5789783616441222,0.45160704950943426,1.0,0.8923413912558225,0.0,68.0,0.0,5560.499999999976,2437.4658829766254,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21160731,3
0.0,1.0,249.0,0.7563587684069613,0.4828194790545503,0.38851419663437786,1.0,0.6311497267800024,0.0,53.0,0.0,6121.665000000008,2128.4000000000033,0.0,independent_greedy,survey,21160731,3
0.0,0.0,300.0,0.6055555555555555,0.7392678295898165,0.6987528063163657,1.0,0.8949558641318447,0.0,58.0,0.0,7988.647986594814,2887.3878066203133,0.0,communication_aware,survey,21160731,3
0.0,0.0,300.0,0.4644444444444444,0.7112747147959969,0.6366893090064917,1.0,0.8739175898516692,0.0,2.0,0.0,9103.12916553467,3160.95643788984,610.0,haco_safemarl_pilot_no_acoustic,survey,21160731,3
0.0,0.0,300.0,0.6633333333333333,0.5500269893723803,0.5335273510974297,1.0,0.9913829398509345,0.0,52.0,0.0,9116.755331161483,2935.5516545409546,0.0,haco_safemarl_pilot_no_shield,survey,21160731,3
0.0,0.0,300.0,0.44333333333333325,0.7874074696934741,0.7467396420836986,1.0,0.9070478417708889,0.0,2.0,0.0,9005.021272180187,3114.352950535895,624.0,haco_safemarl_pilot,survey,21160731,3
0.0,0.0,300.0,0.0,0.884587999840419,0.8386698098717362,0.0,0.9999999998888889,0.0,2.0,0.0,493.6388231426793,335.511671180118,209.0,haco_safemarl_mappo,survey,21160731,3
0.0,1.0,231.0,0.001443001443001443,0.9388664506259222,0.9199042177914889,0.013888888888888888,0.9999958233548409,0.0,39.0,0.0,4281.584999999986,2485.314337653135,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21170738,3
0.0,1.0,177.0,0.030131826741996232,0.9163063457926279,0.8736817558748369,0.2962962962962962,0.9980732828651312,0.0,30.0,0.0,4351.5450000000055,2006.3999999999958,0.0,independent_greedy,survey,21170738,3
0.0,1.0,200.0,0.0016666666666666666,0.9389185930106593,0.9203677207369071,0.016666666666666666,0.999994425799116,0.0,33.0,0.0,5675.0,2615.0366392775572,0.0,communication_aware,survey,21170738,3
1.0,1.0,172.0,0.09689922480620154,0.9168973509129326,0.8550199896223559,0.33333333333333326,0.9774932928711437,0.0,0.0,0.0,5388.389927821293,1369.4671006708304,96.0,haco_safemarl_pilot_no_acoustic,survey,21170738,3
0.0,1.0,172.0,0.16860465116279066,0.8905081062198209,0.7787609146163649,0.33333333333333326,0.9239980117013562,0.0,29.0,0.0,5319.300202175216,1331.0119392293584,0.0,haco_safemarl_pilot_no_shield,survey,21170738,3
1.0,1.0,172.0,0.09108527131782945,0.9183373688412579,0.859476959380791,0.33333333333333326,0.980310100192079,0.0,0.0,0.0,5397.000509551417,1384.8081103236336,96.0,haco_safemarl_pilot,survey,21170738,3
0.0,0.0,300.0,0.0,0.8828767825372852,0.855134637164583,0.0,0.9999999998888889,0.0,0.0,0.8166666666666667,259.3398388721213,358.62103103480837,447.0,haco_safemarl_mappo,survey,21170738,3
0.0,1.0,228.0,0.23245614035087717,0.8721943379207323,0.8138814531674949,0.6666666666666664,0.955031652305602,0.0,70.0,0.0,4225.979999999987,1717.5245977594998,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21180745,3
0.0,1.0,174.0,0.40229885057471254,0.8282603792687824,0.7554857031468316,0.6666666666666665,0.7628361856380821,0.0,54.0,0.0,4277.790000000005,1419.7999999999988,0.0,independent_greedy,survey,21180745,3
0.0,1.0,197.0,0.22842639593908623,0.8859456516748162,0.8296017748733927,0.6666666666666665,0.957691988664589,0.0,60.0,0.0,5473.590933599159,1733.8834121699267,0.0,communication_aware,survey,21180745,3
0.0,0.6666666666666666,300.0,0.03,0.9252183396765988,0.9013226386926264,0.29999999999999993,0.9982945412357549,0.0,0.0,0.0,5535.699382658532,1645.1105017312198,432.0,haco_safemarl_pilot_no_acoustic,survey,21180745,3
0.0,1.0,169.0,0.1380670611439842,0.8894722668769823,0.8444642030667445,0.5490196078431372,0.9713926740639599,0.0,52.0,0.0,5406.983151219449,1334.4347855313445,0.0,haco_safemarl_pilot_no_shield,survey,21180745,3
0.0,0.6666666666666666,300.0,0.03666666666666667,0.9225750271231477,0.8974436173340018,0.36666666666666653,0.9987006204737514,0.0,0.0,0.0,5503.253930094098,1754.7519712424316,443.0,haco_safemarl_pilot,survey,21180745,3
0.0,0.0,300.0,0.0,0.9021994665020864,0.8929591845631999,0.0,0.9999999998888889,0.0,0.0,0.0,934.0664635057501,638.4104318075887,128.0,haco_safemarl_mappo,survey,21180745,3
0.0,0.3333333333333333,300.0,0.33,0.738712880529286,0.5492567104198476,0.8,0.9106092363895214,0.0,150.0,0.0,5560.499999999976,2347.0919938628704,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21190752,3
0.0,1.0,289.0,0.5201845444059976,0.5785055593651652,0.17806257725962196,1.0,0.7772418188538448,0.0,115.0,0.0,7105.06500000001,2447.4000000000074,0.0,independent_greedy,survey,21190752,3
0.0,0.0,300.0,0.46111111111111114,0.7746840947030799,0.6716751764523802,1.0,0.9393932129482495,0.0,173.0,0.0,8114.271571269663,2859.7242802140777,0.0,communication_aware,survey,21190752,3
0.0,0.0,300.0,0.2822222222222222,0.7456616127794988,0.451827912596142,0.8666666666666667,0.8630005540576426,0.0,12.0,0.0,7059.868009225921,2459.5221641738235,531.0,haco_safemarl_pilot_no_acoustic,survey,21190752,3
0.0,0.0,300.0,0.5411111111111111,0.6504065914827416,0.46626013967958063,1.0,0.9126656709946444,0.0,218.0,0.0,9295.186017696315,2808.9274694386318,0.0,haco_safemarl_pilot_no_shield,survey,21190752,3
0.0,0.0,300.0,0.3655555555555555,0.8021132600929537,0.6735755311903536,1.0,0.9042151648282917,0.0,12.0,0.0,9022.180411897032,2990.9185213594155,521.0,haco_safemarl_pilot,survey,21190752,3
0.0,0.0,300.0,0.17666666666666667,0.8771700375859436,0.7936196601698342,0.3333333333333334,0.9156798293611178,0.0,20.0,0.0,907.5769726358882,115.5468205524439,272.0,haco_safemarl_mappo,survey,21190752,3
0.0,0.3333333333333333,300.0,0.5844444444444444,0.5377085189419791,0.4049087399945319,1.0,0.9264661070925435,0.0,26.0,0.0,5560.499999999976,2409.826955969117,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21200759,3
0.0,0.6666666666666666,300.0,0.7622222222222221,0.3752976690340933,0.1835727412301214,1.0,0.4649245696346957,0.0,90.0,0.0,7375.50000000001,2815.8000000000106,0.0,independent_greedy,survey,21200759,3
0.0,0.0,300.0,0.6433333333333332,0.6812825986666864,0.604785114220041,1.0,0.9309896178697938,0.0,38.0,0.0,7951.954874432867,2990.4417188424004,0.0,communication_aware,survey,21200759,3
0.0,0.0,300.0,0.6133333333333333,0.6277845851639458,0.4062698275648656,1.0,0.8755476504952409,0.0,0.0,0.0,9130.046578642423,3341.3036877106506,639.0,haco_safemarl_pilot_no_acoustic,survey,21200759,3
0.0,0.0,300.0,0.7066666666666667,0.5130785937172905,0.39708379305179353,1.0,0.9018633529869605,0.0,121.0,0.0,9063.272662576406,3022.802825878015,0.0,haco_safemarl_pilot_no_shield,survey,21200759,3
0.0,0.0,300.0,0.6022222222222222,0.7332730824545367,0.6444964990482255,1.0,0.9007998419919312,0.0,0.0,0.0,8984.129300553715,3220.760695174395,653.0,haco_safemarl_pilot,survey,21200759,3
0.0,0.0,300.0,0.24111111111111105,0.8138646864909881,0.7507774658465214,0.6666666666666669,0.9044428285950268,0.0,0.0,0.0,384.0767201959082,249.29371185925277,436.0,haco_safemarl_mappo,survey,21200759,3
0.0,0.6666666666666666,300.0,0.2855555555555555,0.7853221876953128,0.659286273007714,0.6666666666666669,0.9255070768426903,0.0,0.0,0.0,5560.499999999976,3135.776230884711,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21210766,3
1.0,1.0,253.0,0.33333333333333326,0.7221671586483082,0.4811408706533645,0.6666666666666667,0.8685840676057005,0.0,0.0,0.0,6220.005000000008,3105.800000000017,0.0,independent_greedy,survey,21210766,3
0.0,0.6666666666666666,300.0,0.3377777777777778,0.83081357083194,0.7432384202549073,0.6666666666666669,0.8846782225552376,0.0,0.0,0.0,8210.047705293702,3706.90194319145,0.0,communication_aware,survey,21210766,3
0.0,0.6666666666666666,300.0,0.28666666666666674,0.7898969486930173,0.5700151760190171,0.6666666666666669,0.90875897906323,0.0,0.0,0.0,9276.472987376239,2785.081492594454,326.0,haco_safemarl_pilot_no_acoustic,survey,21210766,3
1.0,1.0,262.0,0.3091603053435114,0.7818193211573665,0.5696857748727739,0.6666666666666669,0.9554933354540308,0.0,0.0,0.0,8129.870233891533,2295.4480680776296,0.0,haco_safemarl_pilot_no_shield,survey,21210766,3
0.0,0.3333333333333333,300.0,0.35333333333333333,0.833528395780554,0.7573860592388377,0.6666666666666669,0.8700624179232344,0.0,0.0,0.0,8952.57167419928,3470.065258708679,359.0,haco_safemarl_pilot,survey,21210766,3
0.0,0.0,300.0,0.0,0.8953319972947508,0.8835434456665859,0.0,0.9999999998888889,0.0,0.0,0.0,602.6384818816063,292.01629416569835,241.0,haco_safemarl_mappo,survey,21210766,3
