scenario,policy,episodes,success_mean,success_std,task_completion_mean,task_completion_std,outage_rate_mean,outage_rate_std,mean_packet_mean,mean_packet_std,worst_agent_packet_mean,worst_agent_packet_std,cvar_outage_90_mean,cvar_outage_90_std,comm_fairness_mean,comm_fairness_std,usv_collision_rate_mean,usv_collision_rate_std,auv_collision_count_mean,auv_collision_count_std,colregs_violation_rate_mean,colregs_violation_rate_std,energy_mean,energy_std,smoothness_mean,smoothness_std,shield_interventions_mean,shield_interventions_std,mission_time_mean,mission_time_std
acoustic_degradation,communication_aware,3,0.0,0.0,0.1111111111111111,0.15713484026367722,0.8507407407407408,0.11654961794477361,0.6681587333926776,0.04051396601667623,0.5935302727740727,0.08971307366516001,1.0,0.0,0.32802320731940804,0.265688511181131,0.008888888888888889,0.01257078722109418,18.0,25.45584412271571,0.03,0.04242640687119285,7889.711761074717,46.43828641981404,3182.492927438727,256.5131150546171,0.0,0.0,300.0,0.0
acoustic_degradation,fixed_auv_ga_pso_tlbo_proxy,3,0.0,0.0,0.6666666666666666,0.4714045207910317,0.8492920768870136,0.10986602944597307,0.47608769706115905,0.01635166193852061,0.2918211625589736,0.06854026171514631,1.0,0.0,0.32321703750848063,0.2598741152503884,0.005625879043600562,0.007956194443730491,60.333333333333336,41.12041936664665,0.04922644163150492,0.06961670138264181,5146.551666666666,533.8451831185599,2095.9972929329233,116.30996318937991,0.0,0.0,277.6666666666667,28.802006102970598
acoustic_degradation,haco_safemarl_pilot,3,0.0,0.0,0.1111111111111111,0.15713484026367722,0.6844444444444444,0.0104625532532041,0.696760863668521,0.014456684337361954,0.6247781879198804,0.02256271217517689,0.9407407407407408,0.061753081483455825,0.5581779020473726,0.24363204175950814,0.0,0.0,0.0,0.0,0.044444444444444446,0.0628539361054709,8452.567284098477,661.8339795672267,3176.683414210874,465.8003409069616,958.3333333333334,41.69998667732268,300.0,0.0
acoustic_degradation,haco_safemarl_pilot_no_acoustic,3,0.0,0.0,0.3333333333333333,0.2721655269759087,0.7122222222222222,0.02903098954409693,0.5734213062797393,0.03494307824851098,0.38664005381790095,0.04691338020666301,1.0,0.0,0.5557493277093949,0.23179266762597314,0.0,0.0,0.0,0.0,0.03888888888888889,0.05499719409228703,8075.786061983925,1031.5852167924115,2719.420529979661,392.3709107936973,982.0,59.262129560116215,300.0,0.0
acoustic_degradation,haco_safemarl_pilot_no_shield,3,0.0,0.0,0.2222222222222222,0.15713484026367722,0.8644444444444445,0.10978467514694087,0.47928799457178745,0.005427443905523965,0.3329598086057776,0.016870620037463785,1.0,0.0,0.3265517715814599,0.2639034143420214,0.0,0.0,59.0,83.43860018001261,0.03888888888888889,0.05499719409228703,8996.158111423323,145.62143441370438,3035.2148428972546,267.32670439468063,0.0,0.0,300.0,0.0
acoustic_degradation,independent_greedy,3,0.0,0.0,0.8888888888888888,0.15713484026367724,0.8835185725451212,0.06207038971366175,0.36770186076600836,0.039421579056360116,0.17444060497581118,0.08935920972818549,1.0,0.0,0.4203168593370491,0.07655941188123348,0.0,0.0,46.666666666666664,31.562988170042175,0.029304029304029307,0.04144215567393685,5802.06,1197.0311697696102,2032.066666666667,479.42522067807613,0.0,0.0,236.0,48.68949236402724
survey,communication_aware,3,0.0,0.0,0.8888888888888888,0.15713484026367724,0.25021727690923595,0.17645101518877115,0.8676053733586181,0.06609908544770775,0.7788390450124074,0.12267920422057144,0.45267489711934167,0.3026300627300451,0.8640856210132523,0.11360944598300393,0.0,0.0,176.0,114.53383779477574,0.0,0.0,7941.496812910793,226.57936943793533,3439.6822010008486,223.23729180813223,0.0,0.0,287.0,13.140268896284683
survey,fixed_auv_ga_pso_tlbo_proxy,3,0.0,0.0,0.8888888888888888,0.15713484026367724,0.17268142889339644,0.13771040172882132,0.8560327959274654,0.09188405345575804,0.6972189125722332,0.23878173209240672,0.4444444444444445,0.3142696805273545,0.8999847745707534,0.11192450182149126,0.0,0.0,158.33333333333334,108.25997516267137,0.0,0.0,4967.38,517.2117495442913,2649.174342301606,252.28194135175306,0.0,0.0,268.0,27.9045993819418
survey,haco_safemarl_pilot,3,0.3333333333333333,0.4714045207910317,0.8888888888888888,0.15713484026367724,0.14033388067870825,0.168089830764932,0.8773799266076034,0.06326270870043264,0.8138127925348071,0.0627150873861009,0.4444444444444444,0.41573970964154905,0.9596369553534522,0.054079660336206106,0.0,0.0,5.333333333333333,7.542472332656507,0.0,0.0,6053.637581906759,609.0527725723754,1742.767905888946,383.1035404742753,426.3333333333333,260.5050649966117,252.33333333333334,39.617616732402716
survey,haco_safemarl_pilot_no_acoustic,3,0.6666666666666666,0.4714045207910317,1.0,0.0,0.1291735084838533,0.14604791110988696,0.868184483677795,0.07522371445871606,0.7441064591035151,0.1560731809420865,0.36625514403292175,0.3133522604247156,0.9280735673047129,0.09714418200780744,0.0,0.0,5.333333333333333,7.542472332656507,0.0,0.0,5794.785820850371,332.0070500174068,1679.2438243461256,336.89666504132833,389.0,208.87476311576435,241.33333333333334,27.620443314488796
survey,haco_safemarl_pilot_no_shield,3,0.0,0.0,1.0,0.0,0.24761037842433184,0.09184092264222825,0.8425737895261538,0.06012873363677391,0.6598483960955334,0.12787787165345335,0.5555555555555555,0.15713484026367716,0.8621996943496798,0.08757288323921388,0.0,0.0,95.0,48.33218389437829,0.0,0.0,6356.6650444029465,752.0100942402076,1474.3362891098084,210.9290739472173,0.0,0.0,203.66666666666666,24.280765135299085
survey,independent_greedy,3,0.0,0.0,1.0,0.0,0.26105459407057774,0.12110266323379067,0.7929860841962714,0.08608760361043648,0.5572679836962487,0.1833553772014138,0.5555555555555555,0.15713484026367716,0.8404296346781748,0.09973653035329579,0.0,0.0,120.66666666666667,82.48770952222047,0.0,0.0,5097.29,602.3185627639249,2183.2000000000007,286.0215842671087,0.0,0.0,207.33333333333334,24.499433100017278
traffic,communication_aware,3,0.3333333333333333,0.4714045207910317,0.8888888888888888,0.15713484026367724,0.2842723393563902,0.2376587639149661,0.8340479098467732,0.07343707855113109,0.8063842286437441,0.0773542847273989,0.6666666666666667,0.2721655269759086,0.9733399823905698,0.016643854351921297,0.007856341189674524,0.011110544261068087,0.0,0.0,0.0700941352847872,0.054480502952508364,8042.962360026078,355.2256417349801,3540.173992338768,378.5894966566913,0.0,0.0,289.3333333333333,13.02134998974974
traffic,fixed_auv_ga_pso_tlbo_proxy,3,0.6666666666666666,0.4714045207910317,0.8888888888888888,0.15713484026367724,0.16343333835871146,0.15659402210017084,0.8276994301478184,0.09611176890768681,0.7807376594080855,0.12189620934834904,0.3558201058201059,0.2495972512426537,0.9392653744272891,0.06734457256786078,0.005555555555555556,0.007856742013183862,0.0,0.0,0.06525252525252526,0.04703991709848762,5208.335,254.58931854393782,2816.8823822420654,232.44362651129958,0.0,0.0,281.0,13.73559851869101
traffic,haco_safemarl_pilot,3,1.0,0.0,1.0,0.0,0.15292804118773948,0.12910290440229005,0.8443689167759078,0.07109362159159245,0.7561615709028424,0.14279030922548952,0.39743589743589736,0.19889019279008713,0.9690074892811068,0.03274959712160339,0.0,0.0,0.0,0.0,0.021666666666666667,0.030641293851417062,6940.729420153125,315.043301609666,1853.0163665043062,202.37775832141205,215.0,69.53176732017292,229.33333333333334,22.939534045447004
traffic,haco_safemarl_pilot_no_acoustic,3,1.0,0.0,1.0,0.0,0.14975879978110251,0.11942366608362291,0.840479695247002,0.07528007986579835,0.7421667911403274,0.1594591295189161,0.38034188034188027,0.21715121394722217,0.9547271981477582,0.05048816593743387,0.0,0.0,0.0,0.0,0.04053712480252764,0.028671623571191195,6719.443046328415,144.53018588721724,1749.8805667711451,255.42142566659953,202.33333333333334,48.76018412142796,222.0,23.762715894162156
traffic,haco_safemarl_pilot_no_shield,3,0.6666666666666666,0.4714045207910317,1.0,0.0,0.18112786152987156,0.14081948196001395,0.8174972508774159,0.09813220890874098,0.703733346402041,0.18465663666217186,0.33333333333333326,0.2721655269759086,0.9331719067173337,0.053759058986114765,0.0,0.0,62.333333333333336,88.15264538792293,0.03453854639048903,0.026196711426186202,6900.820971939464,742.3230596131904,1727.9561083508597,260.14396736117965,0.0,0.0,219.66666666666666,25.104227178350307
traffic,independent_greedy,3,1.0,0.0,1.0,0.0,0.4179328916229593,0.019529530308406238,0.721417637543123,0.05618011088099931,0.5632313433193082,0.11155757671324458,0.7201646090534979,0.07565751568251133,0.7509727463580977,0.021385068553046345,0.0,0.0,0.0,0.0,0.039966201943388256,0.02878768196186078,5556.21,645.1708602765628,2421.7333333333336,436.7449700785218,0.0,0.0,226.0,26.242459234352765
