success,task_completion,mission_time,outage_rate,mean_packet,worst_agent_packet,cvar_outage_90,comm_fairness,usv_collision_rate,auv_collision_count,colregs_violation_rate,energy,smoothness,shield_interventions,policy,scenario,seed,num_auvs
1.0,1.0,205.0,0.20000000000000004,0.843681334495391,0.7361964537977242,0.33333333333333326,0.9311514758344234,0.0,0.0,0.06341463414634146,6536.683778688912,1622.8594685571481,0.0,haco_safemarl_pilot_no_shield,traffic,19000,3
1.0,1.0,200.0,0.11166666666666664,0.8844756385025782,0.8464202277369491,0.33333333333333326,0.9843182092428573,0.0,0.0,0.065,6566.3119395632375,1621.3866503661404,133.0,haco_safemarl_pilot,traffic,19000,3
1.0,1.0,268.0,0.37686567164179097,0.6966747498583447,0.6182331228952482,0.6666666666666669,0.8453517623974331,0.0,0.0,0.0,4967.38,2842.6464637462104,0.0,fixed_auv_ga_pso_tlbo_proxy,traffic,25001,3
1.0,1.0,205.0,0.4113821138211382,0.6548401856101993,0.4211898946889088,0.6666666666666665,0.7297005332783979,0.0,0.0,0.0,5039.925,2541.2000000000003,0.0,independent_greedy,traffic,25001,3
0.0,0.6666666666666666,300.0,0.6055555555555555,0.7371736175677923,0.70548966836039,1.0,0.9608273668147688,0.0,0.0,0.0,8138.980493108913,3761.0965450872363,0.0,communication_aware,traffic,25001,3
1.0,1.0,211.0,0.3048973143759873,0.734770387123096,0.5171539930966991,0.6666666666666665,0.8841878349301469,0.0,0.0,0.061611374407582936,6682.9796588353165,1607.8323784678985,256.0,haco_safemarl_pilot_no_acoustic,traffic,25001,3
1.0,1.0,199.0,0.34338358458961465,0.6863768609406233,0.46309876200109085,0.6666666666666665,0.868364244428689,0.0,0.0,0.04020100502512563,6230.177210486741,1475.1712530772554,0.0,haco_safemarl_pilot_no_shield,traffic,25001,3
1.0,1.0,232.0,0.32758620689655177,0.7444716913970859,0.5545917114110589,0.6666666666666666,0.9234972675499802,0.0,0.0,0.0,7337.072293255746,1823.2431359599507,303.0,haco_safemarl_pilot,traffic,25001,3
0.0,0.6666666666666666,300.0,0.005555555555555555,0.9245264321960116,0.9118119658585179,0.05555555555555555,0.9999375837593302,0.016666666666666666,0.0,0.08666666666666667,5560.5,3087.8087598583925,0.0,fixed_auv_ga_pso_tlbo_proxy,traffic,31002,3
1.0,1.0,263.0,0.3979721166032953,0.7922548582662524,0.6937147411064464,0.8271604938271605,0.7802260881531251,0.0,0.0,0.053231939163498096,6465.8550000000005,2886.8000000000006,0.0,independent_greedy,traffic,31002,3
0.0,1.0,297.0,0.038159371492704826,0.9149047318139525,0.8934476777200968,0.3333333333333334,0.9968619401842223,0.02356902356902357,0.0,0.07744107744107744,8421.993424395689,3852.075036411654,0.0,communication_aware,traffic,31002,3
1.0,1.0,255.0,0.01437908496732026,0.9042793147668853,0.8676250826041255,0.14102564102564102,0.9995745113651199,0.0,0.0,0.0,6911.8478665276025,2108.5274889183247,213.0,haco_safemarl_pilot_no_acoustic,traffic,31002,3
0.0,1.0,255.0,0.0,0.9224335571962334,0.9119048234073079,0.0,0.9999999998888889,0.0,187.0,0.0,7935.601926642737,2085.8376034181756,0.0,haco_safemarl_pilot_no_shield,traffic,31002,3
1.0,1.0,256.0,0.01953125,0.9041594204280591,0.8674727735605191,0.19230769230769226,0.9992069910504828,0.0,0.0,0.0,6918.80402764039,2114.4193131868274,209.0,haco_safemarl_pilot,traffic,31002,3
0.0,1.0,237.0,0.7412095639943741,0.45656647121362504,0.20087527574823194,1.0,0.33333333314899377,0.016877637130801686,118.0,0.14767932489451477,4392.795,2220.8245141284224,0.0,fixed_auv_ga_pso_tlbo_proxy,acoustic_degradation,37000,3
0.0,1.0,182.0,0.8021978021978022,0.4215192833819461,0.2723217710492999,1.0,0.4079748158966857,0.0,91.0,0.08791208791208792,4474.469999999999,1934.8000000000004,0.0,independent_greedy,acoustic_degradation,37000,3
