success,task_completion,mission_time,outage_rate,mean_packet,worst_agent_packet,cvar_outage_90,comm_fairness,usv_collision_rate,auv_collision_count,colregs_violation_rate,energy,smoothness,shield_interventions,policy,scenario,seed,num_auvs
0.0,1.0,270.0,0.5592592592592592,0.5527865066090778,0.2677944504153501,0.6666666666666669,0.534397524271534,0.12962962962962962,0.0,0.2037037037037037,5004.449999999981,2274.603619503136,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21160730,3
0.0,1.0,206.0,0.551779935275081,0.518769176349799,0.09889355347569574,0.6666666666666665,0.5387099716855132,0.03398058252427184,0.0,0.0,5064.510000000007,1934.0,0.0,independent_greedy,survey,21160730,3
0.0,0.3333333333333333,300.0,0.5822222222222222,0.6897826267067927,0.5322235962238144,0.6666666666666669,0.4976906611017511,0.08333333333333333,0.0,0.24,8008.611171023565,3321.4895558958483,0.0,communication_aware,survey,21160730,3
0.0,1.0,294.0,0.5510204081632653,0.6224990217281826,0.2710100125843311,0.6666666666666669,0.6566999168456388,0.034013605442176874,0.0,0.09863945578231292,8892.68228575875,2372.292990076104,570.0,haco_safemarl_pilot_no_acoustic,survey,21160730,3
0.0,0.3333333333333333,300.0,0.6066666666666667,0.567191618520685,0.3045772088796513,0.6666666666666669,0.44956735101072987,0.02,0.0,0.14,8945.3340526123,3036.305033866796,0.0,haco_safemarl_pilot_no_shield,survey,21160730,3
0.0,0.3333333333333333,300.0,0.5755555555555556,0.7428307128453343,0.5733588617614014,0.6666666666666669,0.5104879446498751,0.02666666666666667,0.0,0.12,8717.06083463737,3063.1516500340126,605.0,haco_safemarl_pilot,survey,21160730,3
0.0,0.0,300.0,0.27777777777777773,0.753928512430119,0.4797060345608805,0.3333333333333334,0.8355681070571369,0.0,0.0,0.006666666666666667,1262.3150736896248,731.7708234550408,713.0,mappo_no_acoustic_shield,survey,21160730,3
0.0,0.6666666666666666,300.0,0.5477777777777777,0.5526991241767021,0.5074019164183406,1.0,0.9895222899884889,0.0,42.0,0.0,5560.499999999976,2460.4856808602926,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21170737,3
0.0,1.0,244.0,0.5737704918032787,0.5224682673618546,0.4794651053997836,1.0,0.993691430767436,0.0,32.0,0.0,5998.740000000008,2430.4000000000074,0.0,independent_greedy,survey,21170737,3
0.0,0.0,300.0,0.6144444444444445,0.6972101582058947,0.6799636890152634,1.0,0.99403951020413,0.0,93.0,0.0,7963.364710973352,2945.3635182039784,0.0,communication_aware,survey,21170737,3
