scenario,policy,episodes,success_mean,success_std,task_completion_mean,task_completion_std,outage_rate_mean,outage_rate_std,mean_packet_mean,mean_packet_std,worst_agent_packet_mean,worst_agent_packet_std,cvar_outage_90_mean,cvar_outage_90_std,comm_fairness_mean,comm_fairness_std,usv_collision_rate_mean,usv_collision_rate_std,auv_collision_count_mean,auv_collision_count_std,colregs_violation_rate_mean,colregs_violation_rate_std,energy_mean,energy_std,smoothness_mean,smoothness_std,shield_interventions_mean,shield_interventions_std,mission_time_mean,mission_time_std
acoustic_degradation,communication_aware,50,0.0,0.0,0.26,0.2690724809414742,0.9496888888888889,0.06827216413049851,0.607759845440372,0.08527388870655749,0.5160271437935002,0.11714712272892631,1.0,0.0,0.1712968790833769,0.1959955622309218,0.0023333333333333335,0.008825468196582484,32.08,48.16174415446351,0.038933333333333334,0.05191206239615435,7736.725631860294,346.63146267490174,3065.8805757635623,226.3313328089869,0.0,0.0,298.0,14.0
acoustic_degradation,fixed_auv_ga_pso_tlbo_proxy,50,0.3,0.45825756949558394,0.9066666666666666,0.14966629547095767,0.9462378689930807,0.08304031905750983,0.4374321171783498,0.1276038526083591,0.275451597493617,0.14227874713157998,1.0,0.0,0.17093005696345953,0.19704104298389125,0.006960002615079078,0.017579919555311376,32.9,37.460512543210086,0.036308560408807665,0.050289583851537,4735.321799999982,860.6328829087048,2319.818443952424,532.0761432550935,0.0,0.0,255.48,46.43285044017866
acoustic_degradation,haco_safemarl_pilot,50,0.1,0.30000000000000004,0.24666666666666667,0.3515679166249389,0.8401110203135972,0.15888675401529606,0.6564972651527746,0.0466026104743618,0.5667173839170984,0.06398655647528709,0.9780952380952381,0.07242340720938623,0.3270753037207369,0.24518149487248278,0.0033333333333333335,0.010241527663824811,3.32,10.627210358320758,0.03537579961560018,0.05495939575516581,8313.728386247196,1288.3734513494385,2984.4681437499635,592.725550780876,911.3,112.52684124243424,290.62,30.99670305048587
acoustic_degradation,haco_safemarl_pilot_no_acoustic,50,0.28,0.44899888641287294,0.6333333333333333,0.33499585403736304,0.822530829726692,0.159508687754707,0.5351794879831103,0.11379540099398995,0.34799064564996146,0.15251079249149394,0.9785785440613027,0.07324622083476834,0.3715784924298831,0.22568889435656828,0.0009523809523809524,0.006666666666666666,3.36,10.299048499740158,0.03578018239713345,0.049577448064023644,8122.170623581065,1341.2992893250012,2595.9697380390066,619.6182688506801,866.4,147.2586839544616,275.74,42.433387797817886
acoustic_degradation,haco_safemarl_pilot_no_shield,50,0.2,0.4,0.6133333333333333,0.3792390040887438,0.9182438381653328,0.10165290462544864,0.46907754715498706,0.10559304220300215,0.327056464698766,0.11207844525525672,0.9938067632850242,0.03402992506802447,0.24680610889470195,0.20312523680723057,0.0036381661007970334,0.011375559970481402,33.74,47.20458028623917,0.04363913945258393,0.0655219140239623,7970.0647548734,1379.4216120591013,2497.046199120472,639.1681944819115,0.0,0.0,265.04,49.22274271106802
acoustic_degradation,independent_greedy,50,0.42,0.4935585071701227,0.9933333333333333,0.04666666666666667,0.9562933852384699,0.0619589337986355,0.35977078935764784,0.10242007132601581,0.15478987247129072,0.10246101496242746,1.0,0.0,0.18853302325632268,0.22221153499847993,0.0,0.0,27.12,30.058369882613395,0.034817489730742966,0.06657062945578435,5052.709200000007,1190.0484987622833,2054.3880000000045,665.0551188104679,0.0,0.0,205.52,48.40547076519347
acoustic_degradation,mappo_acoustic_no_shield,50,0.0,0.0,0.05333333333333333,0.12220201853215572,0.9755777777777778,0.04408324896722304,0.278443196780025,0.0986809043636246,0.10478179505300719,0.08398623986849008,1.0,0.0,0.12050682985342978,0.18379508434129882,0.0034000000000000002,0.0093449927174337,47.3,53.26096131314191,0.031133333333333332,0.05229663256633048,2005.581590097848,714.8077731409376,38.48581071241486,11.384787912868477,0.0,0.0,300.0,0.0
emergency,communication_aware,50,0.02,0.13999999999999999,0.3,0.26874192494328497,0.7397835748792271,0.18352143748934835,0.6436135668170248,0.08465698080836478,0.5561558463237364,0.1152380218307983,0.9308888888888889,0.1452845653821203,0.5301499953823747,0.23786004931335678,0.003466666666666667,0.011430174490745489,29.28,61.960968359121054,0.0252,0.04111858190377895,7806.308301961837,772.302618636004,3151.7001070414367,423.32456552479897,0.0,0.0,295.84,29.119999999999997
emergency,fixed_auv_ga_pso_tlbo_proxy,50,0.36,0.48,0.84,0.24257873864880336,0.687515855990704,0.19195641114045892,0.5271865318597776,0.1368894180651394,0.3649274616782312,0.175946166397926,0.8871118077324974,0.17602916209048802,0.5292559352321393,0.23467689244035525,0.0060328851460326625,0.01800260917519723,23.76,35.687286251549025,0.024499119654078607,0.05151775533146681,4787.9611999999825,949.1689348338082,2330.4556230664616,503.1872972348362,0.0,0.0,258.32,51.209545985099304
emergency,haco_safemarl_pilot,50,0.12,0.32496153618543844,0.32,0.34615346628659116,0.6259443226903108,0.19219640612447378,0.7012828558852149,0.05534594849679499,0.6148302446799065,0.07712992257114552,0.8602008547008547,0.17045272814895332,0.621389821355337,0.21649514334857173,0.001795475113122172,0.007922704626886164,7.12,32.42199253593153,0.022857987909182153,0.044743533737122046,8376.183093693835,1253.751362957712,2913.2391515119602,571.6426290659182,724.36,181.5387297520835,286.22,39.94510733494153
emergency,haco_safemarl_pilot_no_acoustic,50,0.34,0.4737087712930804,0.6533333333333333,0.35251477510406093,0.5961291929016443,0.18745774848856997,0.6072525530748556,0.11697937263825677,0.4312203723050248,0.16834453493544202,0.834865566957521,0.17988808191467662,0.6444688113851283,0.20104038146940037,0.0016292237442922374,0.008462661629466251,6.72,30.16623277772682,0.022649586245621352,0.046889038902990725,8211.147300551127,1464.8421142561413,2517.6099584757103,611.1175366928645,680.54,206.59295341322752,273.96,48.94444197250593
emergency,haco_safemarl_pilot_no_shield,50,0.22,0.4142463035441596,0.5866666666666667,0.3919183588453085,0.7222787598494799,0.18294582125841705,0.542259767921103,0.12594359555228835,0.39587102277434577,0.1424915884572492,0.8990476190476191,0.16076701075168295,0.5589960775742497,0.1988287962891609,0.001947747747747748,0.008575079171273255,34.0,65.39663599910931,0.016489741321109138,0.044976111251719686,7844.338113179793,1701.1879315977953,2438.8523011772295,744.7001135217197,0.0,0.0,259.46,59.51511068627866
emergency,independent_greedy,50,0.5,0.5,0.9866666666666667,0.06531972647421809,0.7749351050766587,0.16541307969147273,0.44892635768876193,0.13024503799651696,0.2333686105083473,0.16108161082869696,0.923679321955184,0.13749758925029035,0.5146102931064214,0.1911541025443263,0.004255144214617684,0.017314474051794166,19.42,27.757586350401578,0.031901839661296075,0.0728363756300281,5210.053200000007,1338.6151190023834,2088.9520000000043,603.5541540707057,0.0,0.0,211.92,54.448449013723064
emergency,mappo_acoustic_no_shield,50,0.0,0.0,0.06,0.12806248474865697,0.8728222222222222,0.10130365306076967,0.37362210848466565,0.10132475348625912,0.17242965425240034,0.10554304422426801,1.0,0.0,0.4833150648595469,0.21198962515348216,0.002533333333333333,0.010719867329195616,27.96,33.578540766388286,0.03513333333333333,0.08805859160556427,1905.7540618078967,671.4153485260426,37.82658779018922,11.275485645565551,0.0,0.0,300.0,0.0
generalization,communication_aware,150,0.03333333333333333,0.17950549357115014,0.38222222222222224,0.27683506700016824,0.587232688671202,0.1911469984362402,0.7089252701733723,0.06883643120667156,0.5835497360061892,0.13971015282316432,0.8729153439153439,0.2271148714483739,0.7597203147016739,0.18008277615020446,0.003588646160229932,0.012339321981280401,141.4,145.8629493737186,0.04311291605064127,0.06885082375452914,8198.37761516909,788.9828932457018,3326.9579074116805,576.166023788797,0.0,0.0,293.5933333333333,22.88437506732972
generalization,fixed_auv_ga_pso_tlbo_proxy,150,0.07333333333333333,0.2606828639468954,0.7947222222222222,0.21800317842285954,0.523396779382962,0.19243355047721408,0.6123534540630572,0.12355600938480872,0.41298421104963773,0.2192030656856068,0.8565151098901099,0.2284779568035764,0.7724891800975627,0.17118168972645148,0.003305186775038682,0.011922985669916153,132.48666666666668,131.14911292960474,0.042287301248166,0.07106494696070437,5867.193200000007,968.4995869400841,3111.410315773865,871.5628339050571,0.0,0.0,284.9866666666667,30.204191026338638
generalization,haco_safemarl_pilot,150,0.12666666666666668,0.3325991915537712,0.35444444444444445,0.3379796545852727,0.4329320144294911,0.1908051038065621,0.7619709114787956,0.05365011791842771,0.6515462935686931,0.1044343910958312,0.7320767645764976,0.22742757860891114,0.8211055663775265,0.13837238216525025,0.0014730298580518846,0.0076480590604368435,11.18,35.94775282730943,0.03650848715134339,0.06377066106322724,8209.550755441156,1762.5904827076895,2949.6361972842374,782.0171243103488,1099.06,610.7848746217171,286.3,34.44681891457226
generalization,haco_safemarl_pilot_no_acoustic,150,0.14666666666666667,0.35377331097124265,0.5736111111111111,0.3060507351226848,0.4207283705368023,0.1765780325186878,0.6993630860451717,0.08948250459719748,0.48143458901802644,0.20177412680027573,0.7155653256704981,0.22430270589176182,0.8206107866306215,0.13282333998861054,0.0018054530329126976,0.00877134246708303,11.646666666666667,36.53566963332622,0.0336973215725811,0.06468380463328424,8386.712007267219,1876.2457339006849,2766.6824194031446,768.3377568052238,1061.2266666666667,596.2545669613124,284.03333333333336,36.50267874492988
generalization,haco_safemarl_pilot_no_shield,150,0.08666666666666667,0.28134597128012256,0.6411111111111111,0.30545907567721775,0.5400444868001533,0.17846329171891812,0.6265742770464537,0.10201849672391514,0.4290837603916614,0.1745850457449064,0.8233979903841014,0.19202630690374128,0.7532127836364402,0.1622993410364344,0.0025395016914073537,0.012643843499002416,142.73333333333332,160.8481133105252,0.035725561769743806,0.06181399414047597,8799.905943275666,1649.853959091561,2593.533766161124,653.6472697949145,0.0,0.0,273.88666666666666,45.50377810931991
