success,task_completion,mission_time,outage_rate,mean_packet,worst_agent_packet,cvar_outage_90,comm_fairness,usv_collision_rate,auv_collision_count,colregs_violation_rate,energy,smoothness,shield_interventions,policy,scenario,seed,num_auvs
0.0,0.6666666666666666,300.0,0.16444444444444445,0.8534551557156057,0.6723019787603667,0.3888888888888888,0.9346833667467938,0.0,14.0,0.0,5560.499999999976,2971.4282349620344,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21160729,3
0.0,1.0,253.0,0.32806324110671936,0.733725717719507,0.3251218536926378,0.6025641025641024,0.7319049788480628,0.0,10.0,0.0,6220.005000000008,2645.60000000001,0.0,independent_greedy,survey,21160729,3
0.0,0.3333333333333333,300.0,0.25,0.8665266910926149,0.7588799783238144,0.6666666666666669,0.9203597203463231,0.0,12.0,0.0,8311.217473299683,3597.4737781937865,0.0,communication_aware,survey,21160729,3
0.0,1.0,260.0,0.14999999999999997,0.8591924295828499,0.6855721022426636,0.4102564102564102,0.949493574775331,0.0,2.0,0.0,8135.407724054304,2108.253564163292,175.0,haco_safemarl_pilot_no_acoustic,survey,21160729,3
0.0,1.0,246.0,0.14092140921409219,0.8496010176780477,0.6513278387228142,0.3733333333333333,0.9530217889900348,0.0,10.0,0.0,7737.584932088726,1831.402957457433,0.0,haco_safemarl_pilot_no_shield,survey,21160729,3
0.0,0.6666666666666666,300.0,0.24222222222222223,0.8625744914610897,0.7533722821297733,0.6666666666666669,0.944153492467108,0.0,2.0,0.0,9191.245909172703,2769.004154141743,291.0,haco_safemarl_pilot,survey,21160729,3
0.0,0.0,300.0,0.0,0.8787602579251202,0.8362212369281095,0.0,0.9999999998888889,0.0,8.0,0.0,971.1009637521815,405.50946063089424,382.0,haco_safemarl_mappo,survey,21160729,3
1.0,1.0,299.0,0.20958751393534,0.8650762211749116,0.7618081120793082,0.6666666666666669,0.9410382699290127,0.0,0.0,0.0,5541.9649999999765,3357.57080350357,0.0,fixed_auv_ga_pso_tlbo_proxy,survey,21170736,3
1.0,1.0,229.0,0.33042212518195047,0.7820889798401233,0.4858510333457655,0.6086956521739129,0.7272827258730505,0.0,0.0,0.0,5629.965000000007,2805.8000000000047,0.0,independent_greedy,survey,21170736,3
0.0,0.6666666666666666,300.0,0.2688888888888888,0.8586321994620142,0.7788877376182708,0.6666666666666669,0.9265384383139696,0.0,0.0,0.0,8324.643714094593,3921.0255755880303,0.0,communication_aware,survey,21170736,3
1.0,1.0,223.0,0.10164424514200297,0.9001634103413901,0.8028178369910498,0.3333333333333332,0.9750356997900181,0.0,0.0,0.04035874439461883,7041.819037407235,1850.1562714655013,131.0,haco_safemarl_pilot_no_acoustic,survey,21170736,3
